id;brand;model;createYear;price
0;BMW;M3;1234;10000000
1;lada;M222;2024;15
aboba;lada;m2;tojeAboba;15
2;lada;M999;2024;15
3;lada;M999;2024;15
4;lada;M999;2024;155
5;lada;M999;2024;152
6;lada;M999;2024;151
7;lada;M999;2024;155
8;lada;M999;2024;155
9;lada;M999;2024;15
10;lada;M999;2024;15
11;lada;M999;2024;15
12;lada;M999;2024;15
13;lada;M999;2024;15
14;lada;M999;2024;15
15;lada;M999;2024;15
16;lada;M999;2024;15
17;lada;M999;2024;15
18;lada;M999;2024;15
19;lada;M999;2024;15
20;lada;M999;2024;15
21;lada;M999;2024;15
22;lada;M999;2024;15
23;lada;M999;2024;15
24;lada;M999;2024;15
25;lada;M999;2024;15
26;lada;M999;2024;15
27;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
1;lada;M999;2024;15
